,Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
32069,32069,Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,79,2012,hip-hop,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,4
85738,85738,Eminem,The Monster,48RrDBpOSSl1aLVCalGl5C,78,2013,hip-hop,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189,4
32075,32075,Kendrick Lamar,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,71,2012,hip-hop,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,4
32076,32076,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,71,2012,hip-hop,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
85804,85804,Eminem,Survival,3stOygN0I7CIvkEB2LJGbv,63,2013,hip-hop,0.459,0.899,2,-2.978,1,0.21,0.0038,0.0,0.126,0.437,176.384,272417,4
85740,85740,Eminem,Rap God,6or1bKJiZ06IlK0vFvY75k,76,2013,hip-hop,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,363521,4
32082,32082,Kendrick Lamar,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,67,2012,hip-hop,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,212653,4
85752,85752,J. Cole,Forbidden Fruit (feat. Kendrick Lamar),1mvDFqbbmgmMmU6U4dIq5m,66,2013,hip-hop,0.84,0.504,1,-9.354,1,0.383,0.546,0.00131,0.211,0.406,110.027,268667,4
85834,85834,J. Cole,Born Sinner (feat. James Fauntleroy),47A2jHhdcuOozYPYhttXPs,54,2013,hip-hop,0.556,0.908,5,-4.759,0,0.245,0.304,0.0,0.129,0.715,158.172,209360,4
86232,86232,JAY-Z,Heaven,2m0HT6YzBjf3tJnrn1542Q,35,2013,hip-hop,0.602,0.561,5,-7.181,1,0.0316,0.00413,0.473,0.0778,0.602,83.461,242933,4
83760,83760,Incendiary,Deed Before Creed,0QqduqIL1YDhU9L4VAQpbA,23,2013,hardcore,0.584,0.991,0,-2.113,1,0.0852,0.00147,0.014,0.53,0.505,146.017,187793,4
86374,86374,Pusha T,Suicide,1XpdbfDAQi4tt0pMss2oUR,34,2013,hip-hop,0.812,0.6,6,-8.068,0,0.425,0.0237,0.0,0.0635,0.918,159.991,222013,4
86227,86227,Nipsey Hussle,Bigger Than Life,2j9AomTG3MqERKJ4luoL1G,36,2013,hip-hop,0.588,0.606,8,-10.516,0,0.456,0.299,0.0,0.688,0.536,155.948,280532,4
86215,86215,Mac Miller,Black Bush,2HvT3ejj8596KKNYqg4JIP,37,2013,hip-hop,0.708,0.536,5,-7.813,1,0.0364,0.296,4.25e-06,0.289,0.277,78.014,190467,4
86204,86204,Mac Miller,I'm Not Real (feat. Earl Sweatshirt),6NPWjpaanNApzPEtuVVAuj,39,2013,hip-hop,0.474,0.688,1,-6.047,1,0.184,0.401,0.0,0.657,0.741,152.087,203400,4
86180,86180,Mac Miller,Objects in the Mirror (Live),3SI9uxzQCSEfj7V1Qvf7nU,41,2013,hip-hop,0.394,0.641,1,-7.645,1,0.373,0.247,3.88e-06,0.656,0.193,165.12,389800,4
86181,86181,JAY-Z,F.U.T.W.,26ZXwyyui0YVpWZchlmB9h,36,2013,hip-hop,0.576,0.646,1,-8.097,0,0.23,0.0308,0.0,0.179,0.323,88.057,242760,4
86172,86172,JAY-Z,Crown,2tcatycPdcN1gMxA1V4heS,37,2013,hip-hop,0.414,0.454,4,-9.33,1,0.0589,0.0141,0.0462,0.4,0.07,117.147,274053,4
86060,86060,Mac Miller,Matches,4XCmKekq1HRCsS7BPWsCRx,42,2013,hip-hop,0.707,0.738,10,-6.242,0,0.297,0.189,0.0,0.337,0.456,138.041,178411,4
86063,86063,Nipsey Hussle,4 in the Mornin,5IQo8cHllhsjC0Rl1f2lCQ,41,2013,hip-hop,0.678,0.53,6,-10.319,0,0.355,0.000506,1.31e-06,0.0477,0.441,139.948,209427,4
85963,85963,Hopsin,Rip Your Heart Out (feat. Tech N9ne),1zZXXOfcYKJbUh494VmGVB,46,2013,hip-hop,0.669,0.827,1,-5.937,0,0.319,0.29,0.0,0.291,0.164,79.223,231493,4
